SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"HUBL.U","HARVEST US BANK LEADERS IN-U","HUBL.U","USD","ETF","CA","TSE*"
"HUC","GLOBAL X CRUDE OIL ETF","HUC","CAD","ETF","CA","TSE*"
"HUC.OLD","HORIZONS CRUDE OIL ETF","HUC.OLD","null","ETF","CA","TSE*"
"HUG","GLOBAL X GOLD ETF","HUG","CAD","ETF","CA","TSE*"
"HUG.OLD","HORIZONS GOLD ETF","HUG.OLD","null","ETF","CA","TSE*"
"HULC","GLB X US LAR CAP IDX COR ETF","HULC","CAD","ETF","CA","TSE*"
"HULC.OLD","HORIZONS US LARGE CAP INDEX","HULC.OLD","null","ETF","CA","TSE*"
"HULC.U","GLB X US LAR CAP IDX COR ETF","HULC.U","USD","ETF","CA","TSE*"
"HULC.U.O","HORIZONS US LARGE CAP INDEX","HULC.U.OLD","null","ETF","CA","TSE*"
"HUM","HAMILTON US MID-CAP FIN ETF","HUM","CAD","ETF","CA","TSE*"
"HUN","GLOBAL X NATURAL GAS ETF","HUN","CAD","ETF","CA","TSE*"
"HUN.OLD","HORIZONS NATURAL GAS ETF","HUN.OLD","null","ETF","CA","TSE*"
"HURA","GLOBAL X URANIUM INDEX ETF","HURA","CAD","ETF","CA","TSE*"
"HURA.OLD","HORIZONS GLOBAL URANIUM INDE","HURA.OLD","null","ETF","CA","TSE*"
"HUTE","HARVEST EQW GL UTIL ENH INC","HUTE","CAD","ETF","CA","TSE*"
"HUTL","HARVEST EQUAL WEIGHT GLOBA-A","HUTL","CAD","ETF","CA","TSE*"
"HUTS","HAMILTON ENHAN UTILITIES ETF","HUTS","CAD","ETF","CA","TSE*"
"HUV","BETAPRO S&amp;P 500 VIX SHORT-TE  ","HUV","CAD","ETF","CA","TSE*"
"HUZ","GLOBAL X SILVER ETF","HUZ","CAD","ETF","CA","TSE*"
"HUZ.OLD","HORIZONS SILVER ETF","HUZ.OLD","null","ETF","CA","TSE*"
"HXCN","GLB X S&amp;P/TSX CAP IDX CL ETF","HXCN","CAD","ETF","CA","TSE*"
"HXCN.OLD","HORIZONS S&amp;P/TSX CAPPED COMP","HXCN.OLD","null","ETF","CA","TSE*"
"HXD","BETAPRO S&amp;P/TSX 60 -2X DAILY","HXD","CAD","ETF","CA","TSE*"
"HXDM","GLB X IN D MK EQ IN CO C ETF","HXDM","CAD","ETF","CA","TSE*"
"HXDM.OLD","HORIZONS INTL DEVELOPED MARK","HXDM.OLD","null","ETF","CA","TSE*"
"HXDM.U","GLB X IN D MK EQ IN CO C ETF","HXDM.U","USD","ETF","CA","TSE*"
"HXDM.U.OO","HORIZONS INTL DEVELOPED MARK","HXDM.U.OLD","null","ETF","CA","TSE*"
"HXE","GLB X S&amp;P/TSX CA E ID CO ETF","HXE","CAD","ETF","CA","TSE*"
"HXE.OLD","HORIZONS S&amp;P/TSX CAPPED ENER","HXE.OLD","null","ETF","CA","TSE*"
"HXEM","GLOB X EM MRK EQ I CO CL ETF","HXEM","CAD","ETF","CA","TSE*"
"HXEM.OLD","HORIZONS EMERGING MKT EQUITY","HXEM.OLD","null","ETF","CA","TSE*"
"HXF","GLB X S&amp;P/TSX CAP IDX C ETF","HXF","CAD","ETF","CA","TSE*"
"HXF.OLD","HORIZONS S&amp;P/TSX CAPPED FINA","HXF.OLD","null","ETF","CA","TSE*"
"HXH","GLB X CAN HG DVD IDX CRP ETF","HXH","CAD","ETF","CA","TSE*"
"HXH.OLD","HORIZONS CDN HIGH DVD IN ETF","HXH.OLD","null","ETF","CA","TSE*"
"HXQ","GLOBAL X NASDAQ-100 INDE-CAD","HXQ","CAD","ETF","CA","TSE*"
"HXQ.OLD","HORIZONS NASDAQ-100 INDEX ET","HXQ.OLD","null","ETF","CA","TSE*"
"HXS","GLOBAL X S&amp;P 500 INDEX CORPO","HXS","CAD","ETF","CA","TSE*"
"HXS.OLD","HORIZONS S&amp;P 500 INDEX ETF","HXS.OLD","null","ETF","CA","TSE*"
"HXS.U","GLOBAL X S&amp;P 500 INDEX CORPO","HXS.U","USD","ETF","CA","TSE*"
"HXS.U.OLD","HORIZONS S&amp;P 500 INDEX ETF","HXS.U.OLD","null","ETF","CA","TSE*"
"HXT","GLOBAL X S&amp;P/TSX 60 INDEX CO","HXT","CAD","ETF","CA","TSE*"
"HXT.OLD","HORIZONS S&amp;P/TSX 60 INDEX ET","HXT.OLD","null","ETF","CA","TSE*"
"HXT.U","GLOBAL X S&amp;P/TSX 60 INDEX CO","HXT.U","USD","ETF","CA","TSE*"
"HXT.U.OLD","HORIZONS S&amp;P/TSX 60 INDEX ET","HXT.U.OLD","null","ETF","CA","TSE*"
"HXTUN","GLOBAL X S&amp;P/TSX 60 INDEX CO","HXTUN","MXN","ETF","CA","MEXI*"
"HXTUN.OLD","HORIZONS S&amp;P/TSX 60 INDEX ET","HXTUN.OLD","null","ETF","CA","MEXI*"
"HXU","BETAPRO S&amp;P/TSX 60 2X DB ETF","HXU","CAD","ETF","CA","TSE*"
"HXX","GLB X EUROPE 50 IDX CORP ETF","HXX","CAD","ETF","CA","TSE*"
"HXX.OLD","HORIZONS EUROPE 50 INDEX ETF","HXX.OLD","null","ETF","CA","TSE*"
"HYBR","GLB X ACTV HYB BD&amp;PRE SH ETF","HYBR","CAD","ETF","CA","TSE*"
"HYBR.OLD","GLOBAL X ACTIVE HYBRID BOND AN","HYBR.OLD","null","ETF","CA","TSE*"
"HYLD","HAMILTON ENHANCED US COVERED","HYLD","CAD","ETF","CA","TSE*"
"HYLD.U","HAMILTON ENHANCED US COVER-U","HYLD.U","USD","ETF","CA","TSE*"
"HZD","BETAPRO SILVER -2X DAILY BEA","HZD","CAD","ETF","CA","TSE*"
"HZU","BETAPRO SILVER 2X DAILY BULL","HZU","CAD","ETF","CA","TSE*"
"ICAE","IVZ S&amp;P/TSX DIV ARIST ESG","ICAE","CAD","ETF","CA","TSE*"
"ICPB","IA CLARINGTON CORE PLUS BOND","ICPB","CAD","ETF","CA","TSE*"
"ICTE","INVESCO S&amp;P/TSX ESG TILT","ICTE","CAD","ETF","CA","TSE*"
"IDEF.B","MANULIFE SMART INTL DEF EQTY","IDEF.B","CAD","ETF","CA","TSE*"
"IDIV.B","MANULIFE SMART INTL DIVIDEND","IDIV.B","CAD","ETF","CA","TSE*"
"IFRF","IA CLARINGTON FLOATING RATE","IFRF","CAD","ETF","CA","TSE*"
"IGAF","IA CLARINGTON LOOMIS GLOBAL","IGAF","CAD","ETF","CA","TSE*"
"IGB","PURPOSE GLOBAL BOND CLASS","IGB","CAD","ETF","CA","TSE*"
"IGCF","PIMCO INVESTMENT GRADE CREDI","IGCF","CAD","ETF","CA","TSE*"
"IGEO","IA-LOOMIS GLB EQY OP-ETF","IGEO","CAD","ETF","CA","TSE*"
